miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49
hsa-let-7a-2-3p	2.167801	0.97379	3.0515	2.233289	1.88676	7.464581	0.952293	0.999047	4.085147	0	14.0572	7.859311	3.159732	6.467419	5.226888	0.657448	1.656752	0.85288	4.153762	1.152621	2.442583	20.762062	0.539449	10.048545	4.504446	2.178397	1.211988	0.543408	0	2.544403	8.18805	7.342275	3.126929	2.124703	32.284338	0.396062	1.739591	4.904071	15.651967	11.574418	1.483153	7.951081	3.896344	7.361201	4.910034	5.001704	3.355499	8.031649	7.629627	7.825107	5.829949	4.062647	8.121189	4.81868	4.166953	5.747248	6.227977	6.738724	1.946345	10.394157	14.423602	11.543564	10.43593	14.247763	5.901592	7.100469	2.456043	6.217613	5.148451	4.289716	6.049851	6.906852	6.235686	10.005386	6.819603	5.66035	5.640646	13.590547	7.629174	9.833978	10.614465	7.135847	13.323527	16.489398	9.005907	1.508445	13.200409	13.646152	12.216795	11.985311	8.200977	9.36868	12.709666	10.617188	10.462701	8.045926	9.853033	11.20569
hsa-let-7b-3p	13.873926	46.324577	21.181002	18.145476	24.527886	31.861015	5.475689	6.660314	20.752544	28.805224	107.889006	24.45119	14.649666	16.44127	26.68464	10.519172	21.123596	12.622631	21.184188	7.299929	38.141858	24.768775	9.350448	16.077673	21.795704	20.758843	23.027776	4.890669	6.514809	11.115022	14.2585	22.614208	20.600944	11.975596	14.124398	8.317314	3.044283	6.436594	11.658019	18.519069	21.134938	14.701999	10.714947	13.250162	9.547287	18.188012	10.765564	13.653804	43.234553	30.865699	40.005515	36.317603	33.109461	26.816998	30.160799	38.202302	39.028644	26.661912	18.768323	65.577687	29.534042	23.728438	36.189119	15.247607	14.45288	36.83368	29.47251	27.414023	26.534318	39.869117	29.689086	25.900691	24.122258	33.668918	36.603166	30.565883	18.53355	25.717497	26.702111	25.01626	21.987107	34.787256	31.545413	39.249412	30.305591	34.392574	23.430727	23.945134	22.6566	44.728682	29.623942	26.197607	23.941462	30.776406	30.458082	22.244622	32.776421	30.912243
hsa-let-7b-5p	2749.465335	38227.09587	8267.950449	6023.739867	18859.21853	19146.10296	3817.031057	1882.538018	20351.13629	11342.59012	20835.58102	3625.762299	8831.163458	23266.03244	9966.025226	10454.5778	11905.01091	9380.15033	16679.2941	3543.155066	24410.97606	6719.623276	6970.93863	6359.389583	7359.246973	21528.97082	13747.17884	3256.097917	2711.028747	3970.607064	6374.537765	10980.81346	6212.104379	2485.708483	8423.5221	2814.024654	2680.273744	4920.316496	4889.566737	3737.765359	14657.08006	5979.963275	3596.001052	13956.10074	5130.984682	6489.936804	6407.188152	8388.857129	14416.27873	11966.11033	15806.19961	14513.37553	14496.47696	11056.7741	12408.78838	17841.31981	15214.94299	12490.08052	13320.08707	15367.8568	9757.566724	12593.38663	25376.31635	6574.46781	8909.598798	14608.76975	17879.31901	11770.22526	12441.42649	14753.84478	14849.02427	15532.53488	12576.06511	7138.127841	12266.23556	12611.82373	11927.06548	11658.18059	7345.855121	8967.553049	6837.611371	9822.672406	10493.84639	10030.19882	13745.87248	13287.90295	8711.610322	11771.73646	5105.286543	26145.64425	13153.19745	10354.82144	14739.36911	13301.99247	10021.75544	8552.031353	9561.264462	9652.347416
hsa-let-7c-5p	257.014483	2285.763095	4711.69604	2490.955177	606.279012	6756.53779	2342.642398	400.617943	7448.610496	2609.539863	2734.828153	915.828084	2451.377469	5340.685312	3499.814306	890.513662	1902.159224	2496.381226	5592.210198	958.211749	3415.481124	6087.837362	975.683261	2415.44707	1809.769998	1643.024008	3328.119762	342.07504	1772.462082	1273.540411	252.841323	2925.456227	2519.752994	1107.163031	5123.793623	105.154615	2287.996134	4242.635079	6477.000083	5573.082226	12624.23265	4271.680948	570.489739	1897.349527	1432.638575	2335.946801	441.527925	2753.249456	2428.177816	6412.240552	7307.94236	7887.321382	6184.753278	4942.707999	6746.494899	7152.282147	5926.541032	7692.547714	8400.84021	6306.041047	4674.620708	7190.357537	6885.863886	3379.219466	6806.463764	6914.746675	6984.761375	4783.464541	6349.6225	6911.992955	8455.899778	6705.040699	6361.8762	3425.176948	6257.19277	5735.348679	6539.281539	7104.301802	3836.781431	3767.793896	4688.940238	5225.22429	4271.562513	4750.340063	4777.276071	3675.480114	4665.354765	5416.749597	3668.147492	6888.958333	7102.716586	4390.961995	3303.626215	5515.293121	3538.950191	5082.817041	4332.922386	3645.712488
hsa-let-7d-3p	266.986368	256.106744	136.420015	201.275208	636.467178	343.370708	84.992208	114.890433	237.020184	508.092133	763.305931	223.553744	330.048359	447.732388	373.03476	362.582713	385.19501	234.542136	303.916943	80.29922	254.404304	590.80816	307.665693	450.844747	324.320085	624.174851	608.822102	1002.858596	252.774549	328.361839	402.90851	404.412532	541.878408	476.899079	665.1919	193.674599	213.969607	62.833419	348.445183	291.675331	281.799184	348.197352	192.21965	197.648243	517.190162	376.491815	176.373487	166.857518	385.785258	371.040497	360.451711	252.745889	232.234746	325.365613	305.378107	279.417715	232.926265	250.358286	240.095506	343.574161	329.682329	241.132219	347.247232	170.973158	146.455857	372.774586	416.187552	243.758715	354.846989	373.205225	318.737544	349.767215	311.456088	230.759128	244.253064	344.432239	244.804039	262.820276	345.393556	249.127451	282.041518	355.008409	359.539342	350.225521	370.099877	384.955479	287.108908	356.859729	334.517995	323.850483	266.280742	215.653158	254.488876	277.525228	293.188106	206.827647	300.014859	254.832793
hsa-let-7d-5p	122.784246	151.493885	95.494011	116.968531	304.606985	200.269236	48.805049	44.957126	155.31726	787.609485	317.341277	192.116498	152.816123	202.983446	168.360819	217.286648	148.072274	119.914999	124.612867	53.404745	172.108084	394.47918	286.447371	142.242745	182.793307	345.468158	284.211247	681.161339	198.484484	121.997406	297.593249	197.654054	219.06897	155.103266	177.563861	116.046335	189.180446	46.588681	329.662823	106.484646	163.703077	167.872828	98.382693	93.855311	246.04722	188.70061	132.542264	111.037552	238.279128	176.064908	184.347027	172.108506	190.067036	175.777045	203.783829	181.207376	232.303469	215.785697	202.419836	256.263236	122.257197	171.870839	334.623122	84.486737	160.667857	147.112828	192.687694	158.549145	180.195736	298.513713	153.935108	226.738946	179.686205	117.523575	182.876653	183.395306	208.059258	152.214128	122.586968	145.094312	106.334201	158.059021	134.410891	117.748235	196.843389	156.878407	121.443767	92.69084	113.060866	268.989891	143.935538	93.513315	125.618784	182.104935	159.265544	103.650469	124.067807	141.809912
hsa-let-7e-3p	9.711748	11.546367	12.206001	0.558322	3.98316	16.02154	1.666514	0.666031	12.663953	4.26744	9.13718	15.718621	5.744967	6.857023	10.728877	3.780328	9.940516	4.434978	1.384588	1.536828	6.951964	5.099453	2.517429	2.23301	7.119932	3.075384	11.31189	5.977484	5.211847	3.481814	29.081694	16.153005	4.414488	0.77262	1.345181	3.1685	3.044283	6.89635	17.271138	3.086512	0.370788	5.100693	4.870431	8.833441	3.273355	8.03304	14.75022	6.425318	16.041777	6.086195	7.036146	10.833727	9.682956	7.332773	9.524463	11.494497	15.154739	7.178207	8.619525	32.316382	13.736764	6.733747	11.614182	3.999373	4.817628	6.4348	12.056936	7.630707	11.485004	8.327093	5.489679	18.88592	6.235686	8.893678	9.742287	7.075434	12.0871	10.036095	9.016297	8.453771	12.69945	16.590846	20.37716	13.237967	24.444604	15.084462	10.560328	7.981711	6.663706	9.266993	9.874647	11.624103	7.98049	13.842663	18.484103	8.834742	15.081174	8.887271
hsa-let-7e-5p	1771.440245	2372.15217	1214.317639	566.418027	750.092083	1327.602964	696.840883	273.072912	1704.486408	683.323908	835.700508	822.171291	1214.773296	1604.153611	1561.188977	981.89897	1047.689004	497.399906	440.160345	400.343481	1061.02002	937.024656	405.305948	515.155439	833.758349	1147.759011	1239.661992	1451.169806	1911.010331	466.429155	3060.354113	1363.607395	510.609119	122.266959	377.323211	638.254853	369.662938	717.833501	1709.518695	276.242775	528.37347	927.72617	428.273173	786.544314	414.079466	646.58377	1054.186367	701.363793	1185.331081	638.83305	496.550881	902.400079	823.207358	1019.045936	924.071375	969.594686	1205.113167	588.466496	1719.039323	1209.313016	468.767064	714.738983	1094.426334	608.904403	725.293735	647.473954	744.180856	812.952981	559.200834	767.606695	751.077852	855.693991	802.434281	364.005452	755.583969	759.618841	1960.366242	1506.250813	637.209497	500.497737	555.743098	784.764823	580.94504	589.670158	678.016111	991.652558	456.734172	307.424614	443.802758	1018.874887	909.973847	545.118439	1093.917922	1465.70951	1040.57365	495.534432	431.924879	645.679444
hsa-let-7f-1-3p	2.514648	2.782257	1.795	1.674967	5.241001	3.277133	0.71422	0.333016	2.7779	3.20058	6.32574	1.964827	5.457718	2.337621	2.200796	1.807982	3.313505	2.388065	1.938422	0	2.0668	4.370961	1.43853	2.009709	1.888961	1.793974	2.827972	1.630222	0.434321	1.339159	2.682292	3.817983	2.391181	4.442559	4.708132	3.168501	1.304693	0.919513	3.130395	1.157442	2.039336	1.200163	2.272867	0	2.727797	1.970368	1.398124	1.405538	5.673312	3.043097	2.412393	2.954652	3.904418	6.285234	3.571673	2.535551	3.529185	2.343904	2.08537	3.401725	3.090772	3.206546	6.059571	2.499608	1.565729	4.437793	4.018979	1.978332	5.148449	5.803732	2.576789	2.913828	5.907492	3.811576	3.340213	2.830173	2.256258	2.299938	3.987977	4.485675	1.89544	1.783961	4.898355	2.554695	4.002625	5.128716	2.310072	2.832221	3.331853	5.313076	2.008403	2.081929	3.251311	1.881527	3.255061	3.313029	2.412988	2.704822
hsa-let-7f-2-3p	0.693696	1.669354	0.359	0.558322	0.62892	0.728252	0.952294	0.666031	0.980435	1.867005	2.10858	0.873257	0.287248	0.701286	3.851392	0.328724	0.414188	0.341152	0.138459	0.768414	1.87891	1.639109	1.078898	0.669903	1.162437	0.640705	2.221978	0.271704	0	0.535664	0.282347	1.174764	1.287559	1.738393	0.67259	0.792125	0.869795	0.613008	1.187391	1.157442	1.668547	1.200162	0.974086	1.8403	0.545559	0.606267	2.376813	0.401582	0.586894	1.521548	2.211361	1.107995	3.123533	0.628524	2.976395	0.845183	0.415198	2.050916	0.556099	1.133909	2.060514	0	3.198107	0.749883	0.722645	1.331338	1.786213	1.554403	0.396035	2.271025	1.008309	2.050472	1.64097	0.794079	1.113405	1.698104	0.966967	0.41817	0.693561	0.690104	0.568632	0	1.175605	1.85796	2.573116	1.810134	1.320041	0.772424	1.332741	1.359159	1.338935	0.86747	2.069015	1.209554	0.697513	1.262107	1.005412	0.772807
