"Tumor1"	"Control1"	"Con1_Tum1"	"Ratio"
"miR_a"	57929.41	238305.3	180375.89	0.243089054250997
"miR_b"	35.39	108.39	73	0.32650613525233
"miR_c"	1199.96	8422.04	7222.08	0.14247854439067
"miR_d"	10.58	34.81	24.23	0.303935650675093
"miR_e"	366.66	2841.42	2474.76	0.129041113246194
"miR_f"	4.01	95.17	91.16	0.0421351266155301
"miR_g"	65.67	534.01	468.34	0.122975225183049
"miR_h"	1248.85	15704.7	14455.85	0.0795207804033187
"miR_i"	2121.91	7598.57	5476.66	0.279251227533602
"miR_j"	5.84	56.4	50.56	0.10354609929078
"miR_k"	350239.08	32102.02	-318137.06	10.910188206225
"miR_l"	27539.27	6451.25	-21088.02	4.26882697151715
"miR_m"	8853.59	1456.18	-7397.41	6.08001071296131
"miR_n"	404.24	138.79	-265.45	2.91260177246199
"miR_o"	1200.69	259.51	-941.18	4.62675812107433
"miR_p"	50.35	30.84	-19.51	1.63261997405966
"miR_q"	43.78	14.98	-28.8	2.92256341789052
"miR_r"	30.65	1.76	-28.89	17.4147727272727
"miR_s"	217.81	51.55	-166.26	4.22521823472357
"miR_t"	651.24	182.41	-468.83	3.57019900224768
