miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10
miR_a	57929.41	22506.07	34797.14	40623.09	94189.42	48033.67	86208.88	79334.63	64407.79	107482.61	238305.30	355827.37	321015.59	189452.04	113086.64	299883.51	153344.45	212632.36	212525.33	149009.50
miR_b	35.39	34.11	30.16	43.27	33.21	38.34	18.80	34.52	22.87	60.79	108.39	107.48	84.09	145.38	29.36	66.20	100.89	135.96	118.05	105.00
miR_c	1199.96	1524.17	1166.84	594.55	4366.68	2929.55	3268.03	3984.78	2604.58	5391.68	8422.04	3025.42	6540.17	10951.75	15573.90	12967.52	10830.45	5188.23	11240.38	8873.80
miR_d	10.58	8.81	6.46	7.68	33.75	27.06	13.60	15.26	10.59	19.57	34.81	50.77	45.85	59.53	38.88	48.51	34.12	44.45	31.65	52.90
miR_e	366.66	433.28	829.46	312.30	1595.39	553.11	1040.94	1054.47	666.25	1892.86	2841.42	1504.25	3967.47	3645.77	3818.59	4964.20	3798.18	1356.68	4924.02	8992.43
miR_f	4.01	5.20	12.50	2.29	30.68	45.91	4.80	6.69	6.02	15.82	95.17	146.35	75.48	110.83	296.76	79.33	36.50	159.97	30.16	99.39
miR_g	65.67	39.76	81.87	11.05	80.99	52.96	56.81	56.74	37.32	134.49	534.01	943.53	272.96	312.29	410.23	211.17	202.08	760.92	176.88	548.25
miR_h	1248.85	2070.63	2185.89	1807.23	1222.79	810.49	621.28	1105.06	906.32	2576.96	15704.70	7444.40	7904.82	5308.29	8279.90	11925.94	9774.98	13395.16	5403.65	1916.47
miR_i	2121.91	1039.38	1385.52	1207.96	9635.93	4718.91	2707.55	3117.65	1803.49	4235.40	7598.57	6628.93	18327.72	15896.07	18806.12	15360.58	10104.05	5673.99	15846.02	28387.99
miR_j	5.84	8.81	16.16	5.12	47.45	28.08	21.60	22.48	15.17	34.98	56.40	26.07	59.26	77.24	168.61	78.76	83.98	31.80	82.67	173.93
miR_k	350239.08	109737.52	198141.46	337490.93	240797.17	106971.98	269651.67	367654.02	270557.51	166390.12	32102.02	13890.85	32289.69	52961.65	28425.79	19926.98	56430.59	10479.32	51130.80	61749.51
miR_l	27539.27	11155.56	9794.49	29983.13	23991.08	49112.57	15549.63	11572.97	49646.90	49441.57	6451.25	1228.46	7655.69	5785.96	4447.02	8614.00	15077.30	3081.33	8648.22	4791.58
miR_m	8853.59	2855.87	2606.44	16480.15	5590.13	19920.80	4824.23	2923.89	12645.59	26443.76	1456.18	281.27	1496.74	1108.19	2500.63	1987.85	3272.96	561.04	2081.99	1892.43
miR_n	404.24	320.78	191.53	214.85	147.18	138.12	158.02	186.81	101.85	294.38	138.79	69.06	54.13	72.35	57.53	64.49	173.29	155.10	99.05	92.18
miR_o	1200.69	2069.73	2118.67	564.08	482.41	1060.81	795.70	290.11	687.20	572.52	259.51	2.29	144.68	134.76	114.26	170.65	651.33	2.27	383.93	286.95
miR_p	50.35	179.82	243.24	142.34	65.21	119.52	50.01	28.64	35.88	161.97	30.84	0.46	15.89	22.68	9.92	14.27	55.49	0.00	29.79	14.43
miR_q	43.78	39.98	37.27	34.10	95.89	135.29	40.81	6.42	51.77	38.31	14.98	0.00	12.75	11.29	26.58	18.83	16.62	0.00	32.02	26.45
miR_r	30.65	19.88	45.03	28.98	8.77	20.01	16.00	9.10	23.36	41.64	1.76	0.46	1.49	3.45	3.97	2.28	13.65	2.92	9.68	1.60
miR_s	217.81	397.14	570.06	362.17	204.05	207.37	148.02	133.55	158.44	305.62	51.55	0.00	58.93	60.97	62.68	58.21	151.33	0.32	102.03	153.89
miR_t	651.24	751.13	614.66	1049.86	1215.56	1773.71	955.32	220.26	898.85	436.36	182.41	2.74	230.75	255.15	105.53	256.83	511.57	2.27	485.96	306.19
